name,min_salary,max_salary,val,link,site
Python Developer (Middle/Senior),200000,,руб.,https://nn.hh.ru/vacancy/46798917?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python developer,1500,,USD,https://nn.hh.ru/vacancy/47303044?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle Python Developer,,,,https://nn.hh.ru/vacancy/44784622?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle/Senior Python разработчик проектов Data Science,,,,https://nn.hh.ru/vacancy/47223802?from=vacancy_search_list&query=Python,https://nn.hh.ru
Junior Python Developer,,,,https://nn.hh.ru/vacancy/47341055?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Python Developer,,,,https://nn.hh.ru/vacancy/47341039?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle Python Developer,,,,https://nn.hh.ru/vacancy/47341030?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Python Developer,,,,https://nn.hh.ru/vacancy/44220581?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python программист (CERT),,,,https://nn.hh.ru/vacancy/47301495?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python developer,160000,,руб.,https://nn.hh.ru/vacancy/47164252?from=vacancy_search_list&query=Python,https://nn.hh.ru
Pазработчик Python,,,,https://nn.hh.ru/vacancy/47245819?from=vacancy_search_list&query=Python,https://nn.hh.ru
Программист Python/Разработчик Python (Дистанционная работа),,,,https://nn.hh.ru/vacancy/47196375?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Python Developer,,,,https://nn.hh.ru/vacancy/47220827?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Engineer (Python),,,,https://nn.hh.ru/vacancy/46440506?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python software engineer / Разработчик на Python,,,,https://nn.hh.ru/vacancy/46811927?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python Developer (Partners),,,,https://nn.hh.ru/vacancy/47172777?from=vacancy_search_list&query=Python,https://nn.hh.ru
Software Engineer (Python),,,,https://nn.hh.ru/vacancy/46945906?from=vacancy_search_list&query=Python,https://nn.hh.ru
Fullstack Python Developer,3000,,USD,https://nn.hh.ru/vacancy/46236408?from=vacancy_search_list&query=Python,https://nn.hh.ru
Разработчик Python/Django,,,,https://nn.hh.ru/vacancy/47025419?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python Full Stack Developer,,,,https://nn.hh.ru/vacancy/46353200?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle/Senior/Lead Python Developer,,,,https://nn.hh.ru/vacancy/47290072?from=vacancy_search_list&query=Python,https://nn.hh.ru
Backend Разработчик,,,,https://nn.hh.ru/vacancy/47289202?from=vacancy_search_list&query=Python,https://nn.hh.ru
Ведущий Data Engineer,,,,https://nn.hh.ru/vacancy/47284582?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps Engineer (Big Data),,,,https://nn.hh.ru/vacancy/47332991?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик данных,,,,https://nn.hh.ru/vacancy/47334848?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps стажер,,,,https://nn.hh.ru/vacancy/44740649?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер-программист C/C++,,,,https://nn.hh.ru/vacancy/47131477?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle ML Engineer,,,,https://nn.hh.ru/vacancy/46718362?from=vacancy_search_list&query=Python,https://nn.hh.ru
PHP разработчик (back-end developer),,,,https://nn.hh.ru/vacancy/46773284?from=vacancy_search_list&query=Python,https://nn.hh.ru
Преподаватель IT дисциплин,,80000,руб.,https://nn.hh.ru/vacancy/44071053?from=vacancy_search_list&query=Python,https://nn.hh.ru
Linux администратор / Junior devops,70000,,руб.,https://nn.hh.ru/vacancy/47144585?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps-инженер,,,,https://nn.hh.ru/vacancy/46851506?from=vacancy_search_list&query=Python,https://nn.hh.ru
Старший разработчик C++/Senior Data Engineering developer,,,,https://nn.hh.ru/vacancy/46518751?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Engineer (Integration Team),3500,,EUR,https://nn.hh.ru/vacancy/47282527?from=vacancy_search_list&query=Python,https://nn.hh.ru
JavaScript разработчик,,,,https://nn.hh.ru/vacancy/47021777?from=vacancy_search_list&query=Python,https://nn.hh.ru
Devops Specialist,180000,,руб.,https://nn.hh.ru/vacancy/46632659?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Software Validation Engineer (Computer Vision),,,,https://nn.hh.ru/vacancy/41749774?from=vacancy_search_list&query=Python,https://nn.hh.ru
Team lead (machine learning),,,,https://nn.hh.ru/vacancy/40244996?from=vacancy_search_list&query=Python,https://nn.hh.ru
Devops Инженер,,,,https://nn.hh.ru/vacancy/47297853?from=vacancy_search_list&query=Python,https://nn.hh.ru
PHP-программист (Drupal),150000,,руб.,https://nn.hh.ru/vacancy/46796117?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик отдела продаж,,100000,руб.,https://nn.hh.ru/vacancy/47238514?from=vacancy_search_list&query=Python,https://nn.hh.ru
Преподаватель по программированию (удаленно),50000,,руб.,https://nn.hh.ru/vacancy/46314280?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data scientist (Нижний Новгород),,,,https://nn.hh.ru/vacancy/46786868?from=vacancy_search_list&query=Python,https://nn.hh.ru
QA automation engineer,,,,https://nn.hh.ru/vacancy/47243152?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Scientist,,150000,руб.,https://nn.hh.ru/vacancy/46417534?from=vacancy_search_list&query=Python,https://nn.hh.ru
Ведущий инженер отдела моделирования и разработки центра цифрового моделирования,,,,https://nn.hh.ru/vacancy/46423241?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер по настройке услуг передачи данных,,,,https://nn.hh.ru/vacancy/47250485?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior System Administrator,,,,https://nn.hh.ru/vacancy/47252297?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps Engineer (Platform Infrastructure),,,,https://nn.hh.ru/vacancy/44907647?from=vacancy_search_list&query=Python,https://nn.hh.ru
Linux DevOps инженер,,,,https://nn.hh.ru/vacancy/44432313?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Engineer,,,,https://nn.hh.ru/vacancy/47210164?from=vacancy_search_list&query=Python,https://nn.hh.ru
Риск-аналитик,,,,https://nn.hh.ru/vacancy/47219770?from=vacancy_search_list&query=Python,https://nn.hh.ru
Backend developer (Java),,,,https://nn.hh.ru/vacancy/47219684?from=vacancy_search_list&query=Python,https://nn.hh.ru
Тестировщик (ручное + автотесты),,,,https://nn.hh.ru/vacancy/47218311?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик (Менеджер по проектной и аналитической работе),,80000,руб.,https://nn.hh.ru/vacancy/47208302?from=vacancy_search_list&query=Python,https://nn.hh.ru
Software Development Intern,,,,https://nn.hh.ru/vacancy/47197543?from=vacancy_search_list&query=Python,https://nn.hh.ru
Программист Java,,,,https://nn.hh.ru/vacancy/47201901?from=vacancy_search_list&query=Python,https://nn.hh.ru
Системный администратор Linux,,,,https://nn.hh.ru/vacancy/46355013?from=vacancy_search_list&query=Python,https://nn.hh.ru
Frontend developer (React),,,,https://nn.hh.ru/vacancy/47220093?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер по развитию сетевых решений,,,,https://nn.hh.ru/vacancy/45291285?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик данных,,,,https://nn.hh.ru/vacancy/46520189?from=vacancy_search_list&query=Python,https://nn.hh.ru
Time Coordinated Computing Software Engineer Intern,,,,https://nn.hh.ru/vacancy/47136168?from=vacancy_search_list&query=Python,https://nn.hh.ru
QA and Test Automation Intern (analyzer tools),,,,https://nn.hh.ru/vacancy/47136298?from=vacancy_search_list&query=Python,https://nn.hh.ru
Разработчик ETL,,,,https://nn.hh.ru/vacancy/46438992?from=vacancy_search_list&query=Python,https://nn.hh.ru
Системный администратор Linux,,,,https://nn.hh.ru/vacancy/39960167?from=vacancy_search_list&query=Python,https://nn.hh.ru
Ведущий инженер по тестированию/Senior QA Automation Engineer,,,,https://nn.hh.ru/vacancy/45642562?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик BI (отчетность DWH),,,,https://nn.hh.ru/vacancy/46449295?from=vacancy_search_list&query=Python,https://nn.hh.ru
Go developer,,,,https://nn.hh.ru/vacancy/42743544?from=vacancy_search_list&query=Python,https://nn.hh.ru
Системный администратор MS SCOM / MS SCCM,,,,https://nn.hh.ru/vacancy/43302155?from=vacancy_search_list&query=Python,https://nn.hh.ru
Ведущий инженер по тестированию в IT проект/ QA lead,,,,https://nn.hh.ru/vacancy/47120890?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Scientist (Аналитик),60000,,руб.,https://nn.hh.ru/vacancy/41605370?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Scientist ASR / TTS (Automatic Speech Recognition/ Text To Speech ),,400000,руб.,https://nn.hh.ru/vacancy/47097850?from=vacancy_search_list&query=Python,https://nn.hh.ru
It engineer,,,,https://nn.hh.ru/vacancy/47015464?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python Tech Lead R&D (фотограмметрия и 3D моделирование),,,,https://nn.hh.ru/vacancy/47111239?from=vacancy_search_list&query=Python,https://nn.hh.ru
Teamlead of python developers (telecom) / Руководитель группы разработки,,,,https://nn.hh.ru/vacancy/47097820?from=vacancy_search_list&query=Python,https://nn.hh.ru
"Ведущий Data engineer (группа управления данными), Ozon Express",,,,https://nn.hh.ru/vacancy/45276605?from=vacancy_search_list&query=Python,https://nn.hh.ru
"Analyst/Аналитик данных Sql, Excel",60000,,руб.,https://nn.hh.ru/vacancy/46712887?from=vacancy_search_list&query=Python,https://nn.hh.ru
Deep Learning Software Engineer (Federated Learning/Computer Vision),,,,https://nn.hh.ru/vacancy/41450842?from=vacancy_search_list&query=Python,https://nn.hh.ru
BI developer (Tableau),,,,https://nn.hh.ru/vacancy/47105696?from=vacancy_search_list&query=Python,https://nn.hh.ru
QA Engineer,,,,https://nn.hh.ru/vacancy/45508240?from=vacancy_search_list&query=Python,https://nn.hh.ru
QA Engineer / Инженер по качеству (Application Inspector),,,,https://nn.hh.ru/vacancy/46764928?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер по качеству / QA engineer (MaxPatrol),,,,https://nn.hh.ru/vacancy/44428976?from=vacancy_search_list&query=Python,https://nn.hh.ru
Программист-разработчик RPA,,130000,руб.,https://nn.hh.ru/vacancy/46734813?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle QA automation engineer / WFH,,150000,руб.,https://nn.hh.ru/vacancy/45320870?from=vacancy_search_list&query=Python,https://nn.hh.ru
Аналитик баз данных,,,,https://nn.hh.ru/vacancy/47016583?from=vacancy_search_list&query=Python,https://nn.hh.ru
OLAP разработчик-аналитик,,140000,руб.,https://nn.hh.ru/vacancy/46267724?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Scientist (математик-аналитик),,,,https://nn.hh.ru/vacancy/46991011?from=vacancy_search_list&query=Python,https://nn.hh.ru
Разработчик PostgreSQL,,,,https://nn.hh.ru/vacancy/46205002?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOPS Engineer (HarmanX),,,,https://nn.hh.ru/vacancy/47019633?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Scientist,,,,https://nn.hh.ru/vacancy/46990990?from=vacancy_search_list&query=Python,https://nn.hh.ru
"Старший инженер по автоматизации тестирования Python, Логистика / Тарификатор",,,,https://nn.hh.ru/vacancy/46968970?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Systems Engineer/Старший Системный Администратор,100000,,руб.,https://nn.hh.ru/vacancy/47013738?from=vacancy_search_list&query=Python,https://nn.hh.ru
IT Recruiter / IT Рекрутер (удаленно),,,,https://nn.hh.ru/vacancy/47006636?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps Engineer,,,,https://nn.hh.ru/vacancy/46984612?from=vacancy_search_list&query=Python,https://nn.hh.ru
Эксперт,,100000,руб.,https://nn.hh.ru/vacancy/46735200?from=vacancy_search_list&query=Python,https://nn.hh.ru
Куратор,,,,https://nn.hh.ru/vacancy/46274545?from=vacancy_search_list&query=Python,https://nn.hh.ru
Наставник курса “Java developer”,,,,https://nn.hh.ru/vacancy/46982455?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python Backend Developer/Разработчик,,,,https://nn.hh.ru/vacancy/46953943?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps инженер,,,,https://nn.hh.ru/vacancy/46469491?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер по тестированию услуг передачи данных,,,,https://nn.hh.ru/vacancy/44050291?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior AI Tools Engineer (HarmanX),,,,https://nn.hh.ru/vacancy/46131078?from=vacancy_search_list&query=Python,https://nn.hh.ru
Infrastructure Security Team Lead (Кипр),,,,https://nn.hh.ru/vacancy/43567848?from=vacancy_search_list&query=Python,https://nn.hh.ru
DevOps Intern,,,,https://nn.hh.ru/vacancy/46851130?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Graphics SW Developer,,,,https://nn.hh.ru/vacancy/43574825?from=vacancy_search_list&query=Python,https://nn.hh.ru
QA Automation engineer (Python) / Тестировщик,,,,https://nn.hh.ru/vacancy/46819563?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Automation Engineer in DevOps / инженер-автоматизатор в команду DevOps,,,,https://nn.hh.ru/vacancy/46847468?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Engineer,,,,https://nn.hh.ru/vacancy/46833346?from=vacancy_search_list&query=Python,https://nn.hh.ru
Product Validation Engineer,,,,https://nn.hh.ru/vacancy/43520589?from=vacancy_search_list&query=Python,https://nn.hh.ru
Senior Data Engineer,,,,https://nn.hh.ru/vacancy/46833401?from=vacancy_search_list&query=Python,https://nn.hh.ru
"Аналитик (Digital, User Acquisition)",,,,https://nn.hh.ru/vacancy/46269329?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер-тестировщик,,,,https://nn.hh.ru/vacancy/46828609?from=vacancy_search_list&query=Python,https://nn.hh.ru
Data Engineer,,,,https://nn.hh.ru/vacancy/46767808?from=vacancy_search_list&query=Python,https://nn.hh.ru
Менеджер IT-проектов,70000,,руб.,https://nn.hh.ru/vacancy/46604602?from=vacancy_search_list&query=Python,https://nn.hh.ru
Big Data - разработчик,,,,https://nn.hh.ru/vacancy/46780437?from=vacancy_search_list&query=Python,https://nn.hh.ru
IPP SW Intern (Signal and Image processing),,,,https://nn.hh.ru/vacancy/44327278?from=vacancy_search_list&query=Python,https://nn.hh.ru
Middle QA Automation (Python),,,,https://nn.hh.ru/vacancy/46756666?from=vacancy_search_list&query=Python,https://nn.hh.ru
Backend developer,,,,https://nn.hh.ru/vacancy/46782329?from=vacancy_search_list&query=Python,https://nn.hh.ru
Golang Техлид в команду Товары,,,,https://nn.hh.ru/vacancy/46801473?from=vacancy_search_list&query=Python,https://nn.hh.ru
Инженер,70000,,руб.,https://nn.hh.ru/vacancy/46819827?from=vacancy_search_list&query=Python,https://nn.hh.ru
Python Full-stack Developer,,,,https://nn.hh.ru/vacancy/46743996?from=vacancy_search_list&query=Python,https://nn.hh.ru
